✅ ahg-3d-model: missing=['readme'] | GH #538
✅ ahg-access-request: missing=['readme'] | GH #539
✅ ahg-accession-manage: missing=['readme'] | GH #540
✅ ahg-acl: missing=['db', 'readme'] | GH #541
✅ ahg-actor-manage: missing=['readme'] | GH #542
✅ ahg-ai-services: missing=['readme'] | GH #543
✅ ahg-annotations: missing=['services', 'views', 'readme'] | GH #544
✅ ahg-api: missing=['views', 'readme'] | GH #545
✅ ahg-api-plugin: missing=['services', 'db', 'readme', 'docs_help'] | GH #546
✅ ahg-audit-trail: missing=['readme'] | GH #547
✅ ahg-authority-resolution: missing=['controllers', 'readme'] | GH #548
✅ ahg-backup: missing=['services', 'readme'] | GH #549
✅ ahg-cart: missing=['readme'] | GH #550
✅ ahg-cdpa: missing=['services', 'readme'] | GH #551
✅ ahg-condition: missing=['readme'] | GH #552
✅ ahg-core: missing=['readme'] | GH #553
✅ ahg-custom-fields: missing=['readme'] | GH #554
✅ ahg-dacs-manage: missing=['services', 'db', 'readme'] | GH #555
✅ ahg-dam: missing=['readme'] | GH #556
✅ ahg-data-migration: missing=['readme'] | GH #557
✅ ahg-dc-manage: missing=['services', 'db', 'readme'] | GH #558
✅ ahg-dedupe: missing=['services', 'readme'] | GH #559
✅ ahg-discovery: missing=['readme'] | GH #560
✅ ahg-display: missing=['readme'] | GH #561
✅ ahg-doi: missing=['controllers', 'services', 'views', 'routes', 'readme'] | GH #562
✅ ahg-doi-manage: missing=['db', 'readme', 'docs_help'] | GH #563
✅ ahg-donor-manage: missing=['readme'] | GH #564
✅ ahg-dropdown-manage: missing=['services', 'readme', 'docs_help'] | GH #565
✅ ahg-exhibition: missing=['readme'] | GH #566
✅ ahg-export: missing=['db', 'readme'] | GH #567
✅ ahg-extended-rights: missing=['readme'] | GH #568
✅ ahg-favorites: missing=['readme'] | GH #569
✅ ahg-federation: missing=['readme'] | GH #570
✅ ahg-feedback: missing=['services', 'readme'] | GH #571
✅ ahg-forms: missing=['readme'] | GH #572
✅ ahg-ftp-upload: missing=['readme', 'docs_help'] | GH #573
✅ ahg-function-manage: missing=['db', 'readme'] | GH #574
✅ ahg-functions-docs: missing=['db', 'readme', 'docs_help'] | GH #575
✅ ahg-gallery: missing=['readme'] | GH #576
✅ ahg-gis: missing=['readme'] | GH #577
✅ ahg-graphql: missing=['services', 'readme'] | GH #578
✅ ahg-help: missing=['readme'] | GH #579
✅ ahg-heritage-manage: missing=['readme'] | GH #580
✅ ahg-icip: missing=['readme'] | GH #581
✅ ahg-iiif-collection: missing=['readme', 'docs_help'] | GH #582
✅ ahg-image-ar: missing=['readme', 'docs_help'] | GH #583
✅ ahg-information-object-manage: missing=['readme'] | GH #584
✅ ahg-ingest: missing=['readme'] | GH #585
✅ ahg-integrity: missing=['readme'] | GH #586
✅ ahg-ipsas: missing=['readme'] | GH #587
✅ ahg-jobs: missing=['controllers', 'db', 'readme'] | GH #588
✅ ahg-jobs-manage: missing=['services', 'readme'] | GH #589
✅ ahg-label: missing=['services', 'db', 'readme'] | GH #590
✅ ahg-landing-page: missing=['readme'] | GH #591
✅ ahg-library: missing=['readme'] | GH #592
✅ ahg-loan: missing=['readme'] | GH #593
✅ ahg-marketplace: missing=['readme'] | GH #594
✅ ahg-media-processing: missing=['db', 'readme'] | GH #595
