actor_i18n                          description_identifier         AuthorityNerPipelineService.php
ahg_ai_job                          attempts                       AiController.php
ahg_ai_suggestion                   reviewed_by                    AiController.php
ahg_ai_suggestion                   reviewed_at                    AiController.php
ahg_ai_suggestion                   notes                          AiController.php
ahg_dedupe_scan                     scope                          DedupeController.php
ahg_dedupe_scan                     updated_at                     DedupeController.php
ahg_discovery_log                   keywords                       DiscoveryController.php
ahg_form_field                      atom_field                     FormService.php
ahg_form_template                   config                         FormService.php
ahg_webhook_delivery                event                          WebhookService.php
ahg_webhook_delivery                timestamp                      WebhookService.php
ahg_webhook_delivery                data                           WebhookService.php
destruction_certificate             files_deleted                  DisposalExecutionService.php
destruction_certificate             disposal_action_id             DisposalExecutionService.php
destruction_certificate             action_type                    DisposalExecutionService.php
embargo                             public_message                 EmbargoController.php
embargo                             notes                          EmbargoController.php
embargo_audit                       reason                         EmbargoProcessCommand.php
embargo_audit                       details                        EmbargoNotificationService.php
embargo_audit                       recipients                     EmbargoNotificationService.php
embargo_audit                       days_before                    EmbargoNotificationService.php
embargo_audit                       sent                           EmbargoNotificationService.php
embargo_audit                       error                          EmbargoNotificationService.php
embargo_audit                       changed_fields                 EmbargoService.php
heritage_contribution               object_id                      HeritageController.php
heritage_contribution               type_code                      HeritageController.php
heritage_contributor                verify_token                   HeritageController.php
heritage_contributor                is_verified                    HeritageController.php
heritage_contributor                verified_at                    HeritageController.php
job                                 started_at                     JobsService.php
job                                 updated_at                     JobsService.php
job                                 duration                       JobsService.php
job                                 error_message                  JobsService.php
job                                 stack_trace                    JobsService.php
media_snippets                      created_by                     MediaController.php
media_transcription                 segments                       MediaController.php
nmmz_export_permit                  conditions                     NmmzService.php
property                            created_at                     MetadataExtractionService.php
property                            updated_at                     MetadataExtractionService.php
research_activity_log               action                         ResearchService.php
research_activity_log               object_type                    ResearchService.php
research_activity_log               object_id                      ResearchService.php
research_activity_log               old_values                     ResearchService.php
research_activity_log               new_values                     ResearchService.php
research_activity_log               description                    ResearchService.php
research_assertion                  evidence_json                  EntityResolutionService.php
research_project                    doi                            ResearchController.php
research_project                    doi_minted_at                  ResearchController.php
research_project_milestone          updated_at                     ResearchController.php
research_reading_room_seat          status                         ResearchController.php
research_reading_room_seat          researcher_id                  ResearchController.php
research_saved_search               last_run_at                    ResearchController.php
ric_orphan_tracking                 cleaned_at                     RicController.php
rm_disposal_action                  checks                         DisposalExecutionService.php
rm_disposal_action                  failures                       DisposalExecutionService.php
rm_record_disposal_class            created_at                     FilePlanImportService.php
security_access_log                 details                        SecurityClearanceService.php
security_access_log                 request_id                     SecurityClearanceService.php
security_access_log                 reviewer                       SecurityClearanceService.php
setting                             value                          SecurityClearanceController.php
spectrum_condition_photo            original_name                  ConditionService.php
spectrum_workflow_history           triggered_by                   SpectrumWorkflowService.php
tiff_pdf_merge_job                  output_format                  TiffPdfMergeController.php
--- total gaps: 64
